"more presumptious","mais presunáoso"
"Throw ","Joga "
"Unknown creature in ","Criatura desconhecida em "
"has an extremely thin frame with a lot of fat on it","tem um quadro extremamente fino com um monte de gordura nele"
"stuck on research topic","estagnado em t¢pico de pesquisa "
"Seek Patient for Diagnosis","Procurando Paciente para diagnosticar "
"full ","cheio "
"Quick to despair","r†pido para se desesperar"
"Archery","Tiro com arco"
"Early evening","In°cio da noite"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","A guerra Ös vezes Ç necess†ria, mas a paz tambÇm deve ser valorizada, quando podemos tà-la."
"Woodworking","Marcenaria"
"Default attack is a charging strike.","O ataque padr∆o Ç um ataque de carga."
"steward","administrador"
"Vermin escaped from cage","Verme escapou da jaula"
"no longer imprisoned","N∆o est† mais preso"
"Infiltration Plot","Conspiraá∆o de Infiltraá∆o"
"devouring ","devorando "
"medicine:method:cauterization","medicina:mÇtodo:cauterizaá∆o"
"Brook","Ribeiro"
"banish","Ex°lio"
"State minor feeling of confusion","Estado a menor sensaáao de confusao"
"Continue action","Continuar aá∆o"
"Open tree-felling mode","Modo de derrubada de †rvores"
"This must be the will of ","N∆o sucumbir ao medo! "
"Ice Track (SEW)","Pista de gelo (costurar)"
"I will accept the child into my home.","Vou aceitar a crianáa em minha casa."
"the treatment of plants","o tratamento de plantas"
" Bin"," Caixa"
"the completion of ","a conclus∆o do "
"Go to Writing Place","Ir para o Local de Escrita"
"Need soil at location","Precisa de terra na localizaá∆o"
"Bookcases: ","Estantes de livros: "
"has a narrow","tem um estreito"
"artfully indulges the author's fancies","artisticamente satisfaz as fantasias do autor"
" divine aspect of "," aspecto divino de "
"This parameter set will be reset.","Este conjunto de parÉmetro ser† redefinido."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Comece a pintar uma nova zona. Uma vez escolhidos os ladrilhos, vocà poder† definir os detalhes."
"After a long journey, you are here to meet your most trusted companion.","Ap¢s uma longa jornada, vocà est† aqui para se encontrar com seu companheiro mais confi†vel. "
"after being away from family","depois de ficar longe da fam°lia"
"interacting with a pet","interagindo com um animal de estimaá∆o"
" starts to mutter under "," comeáa a murmurar sob "
"Tools","Ferramentas"
"Chase Opponent Flood","Inundaá∆o de advers†rio Chase"
"Extract from raw fish","Extrato de peixe cru"
"In party: ","No grupo: "
"  [C:2:0:1]You have been ordered to kill this creature.","  [C:2:0:1]Vocà recebeu a ordem de matar essa criatura. "
"presents a different view of the subject of","apresenta uma vis∆o diferente sobre o assunto"
"a strengthening ","um fortalecimento "
"This","Este"
"'s acceptance of ","a aceitaáao de "
"the surrounding area","a †rea circundante"
"is grounded in reality","baseia-se na realidade"
"This is love.","Isto Ç amor."
"the collision of ","a colis∆o de "
" near magma"," perto de magma"
"really slow to heal","muito lento para curar"
"sticks","varetas"
"exchange","troca"
"Up/Down Stair","Escada para Cima/Baixo"
"Huge Profile","Perfil de enorme"
"Excellent","Excelente"
"novel","Novo"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","Escolhe um dep¢sito com o qual o ve°culo na parada da trilha trocar† itens. O ve°culo pegar† os itens desejados e descarregar† quaisquer outros."
"Forbid trap cleaning during sieges","Proibir a limpeza de armadilhas durante cercos"
"It makes me very anxious.","Fico muito ansioso."
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","Sim, e negociaremos! Simplesmente me diga o que lhe interessa e o que vocà est† preparado para oferecer em troca."
"believes that the time taken to master a skill is a horrible waste","acredita que o tempo necess†rio para dominar uma habilidade Ç um desperd°cio horr°vel"
"grow funding network","cresce financiamento da rede"
", but it passes right through!",", mas atravessa direto!"
"doesn't respect a society that has settled into harmony without debate and strife","n∆o respeita uma sociedade que se estabeleceu em harmonia sem debate e conflito"
"al voices bring melody, counterpoint and rhythm","todas as vozes trazem melodia, contraponto e ritmo"
"is tiny and weak","Ç pequeno e fraco"
"the divergence of the harmonic series","a divergància da sÇrie harmìnica"
"Charge Attack","Investida"
"It is an example of ","ê um exemplo de "
"Crushed under a collapsing ceiling","Esmagado sob um teto desabando"
"Cannot chop tree","N∆o pode cortar †rvore"
"Certainly considered a bully","Certamente considerado um valent∆o"
"Guilty","Culpado "
"the construction and use of the water-powered trip hammer","a construá∆o e uso do martelo de viagem movido a †gua"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Prepare-se para guiar suas cargas robustas para a fortuna em um mundo repleto de muitos perigos. "
"groups","clas"
"strings vibrate","cordas vibram"
"I was yelled at by an unhappy citizen.","Foi gritado por um cidadao infeliz."
"high-voiced","alta-voz"
"Others were too wary to make the journey.","Outros eram muito cautelosos para fazer a viagem."
"Acknowledge lack of joy","Reconhecer a falta de alegria"
"zaniness","bobagem"
" was claimed"," foi reivindicado"
"is never moved by the emotions of others","Nunca Ç movido pelas emoá‰es dos outros"
"be moderately loud","seja meio barulhento"
"Order listener to ","Ordenar ao ouvinte que "
"finds leisure time wasteful","considera o tempo de lazer um desperd°cio"
"Loading work quotas...","Cotas de trabalho carregando..."
", rather than walking leisurely.""",", em vez de caminhar vagarosamente."" "
"Cannot generate random creatures -- missing creature variation ","N∆o Ç poss°vel gerar criaturas aleat¢rias -- variaá∆o de criatura ausente "
"a murder","Assassinar"
"State minor feeling of vengefulness","Menor sentimento de vinganáa do estado"
"Acknowledge lack of wonder","Reconhecer a falta de maravilha"
"events","eventos"
"You begin","Vocà comeáa"
"thrilled","excitados, emocionados"
"ash","cinza "
"a foiled corruption conspiracy","uma conspiraá∆o de corrupá∆o frustrada"
"amber","Émbar"
"being unable to find somebody to complain to about job scarcity","ser incapaz de encontrar alguÇm para reclamar sobre a escassez de empregos"
"various civilized races peopled the world.","v†rias raáas civilizadas povoada do mundo."
"Children.","crianáas"
"more wasteful","mais esbanjador"
"Investigate or interrogate (new menu)","Investigar ou interrogar (novo menu) "
" from a period of no rule"," de um per°odo de nenhuma regra"
" second"," segundo"
"wait","Esperar"
"has a narrow, prominent","tem um estreito, proeminente"
"to beseech","implorar"
"Collapsed","Recolhida"
"engineering:machine:piston","engenharia:m†quina:pist∆o"
"Click a creature to start a new conversation","Clique em uma criatura para iniciar uma nova conversa "
"Furniture/siege ammo","Mob°lia/muniá∆o de cerco"
"/E","/L "
"to bathe the world in chaos","para banhar o mundo em caos"
"Requests (Imports from ","Requerido (Importaá∆o de "
"surveying by triangulation for engineering projects","topografia por triangulaá∆o para projetos de engenharia"
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please."," Quem me dera que sei onde comeáar sua busca.  AtÇ entao, vocà est† livre para fazer o que quiser."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].Fratura por sobreposiá∆o"
"Shrub","Arbusto"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: We can part with at most ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Podemos ceder no m†ximo "
"Make Caves Visible","Cavernas de tornar vis°vel"
" has calmed down."," acalmou-se."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","acha que Ç de extrema importÉncia apresentar uma cara ousada e nunca lamentar, reclamar ou mesmo demonstrar emoá∆o"
"Leave Wall","Deixar Parede"
"medicine:theory:classification of bodily fluids","medicina:teoria:classificaá∆o de fluidos corporais"
"Shake ","Agitar "
"Associated","associado com"
"Avoid conflict today.","Evite conflitos hoje. "
"Returning soldiers bring rumor(s)","Soldados retornando trazem boato(s)"
"has a fairly deep and raspy voice","tem uma voz bastante profunda e rouca"
" bag is used by the musician to control the steady flow of air through the instrument.]"," saco Ç usado pelo m£sico para controlar o fluxo de ar constante pelo instrumento.]"
"You feel hot/cold","Vocà se sente quente/frio"
"drinking without well","bebendo mal"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","Atribua uma ordem de defesa do abrigo. Os soldados ir∆o patrulhar e atacar qualquer criatura hostil."
"Forceps","F¢rceps"
"tanned","Curtume"
"Mount ","Montar "
"engineering:optics:theory of rainbows","engenharia:¢ptica:teoria do arco-°ris"
" terrified"," aterrorizado"
" promised "," prometido "
"Invaders can dig natural walls","Invasores podem escavar paredes naturais"
"No item to throw","N∆o h† item para jogar"
"being tormented in nightmares by a dead sibling","sendo atormentado em pesadelos por um irm∆o morto"
"The guildhall petition by ","A petiá∆o da guildhall por "
"Surgeon","Cirurgiao"
"mathematics:algebra:divergence of harmonic series","matem†tica:†lgebra:divergància da sÇrie harmìnica"
"burned away","queimado."
"by invocation of True Name","por invocaá∆o do Nome Verdadeiro"
"You've caught a ","Vocà pegou um "
"Give me the bustle and noise over all that quiet!","D†-me a agitaá∆o e o barulho sobre tudo tao quieto!"
"as a former slave of","como um antigo escravo de"
"respects commerce","respeita o comÇrcio"
"the Line","a Linha"
"feeling apathetic","sentindo ap†tico"
"recruit","recruta"
" was imprisoned by"," foi aprisionado pelos"
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","và a obtená∆o e preservaá∆o do conhecimento como um empreendimento ofensivo realizado por tolos arrogantes"
"bowls","Tigelas"
"is short and just incredibly fat","Ç curto e incrivelmente gorda"
"strand extractor","Extrator de Strand"
"former master","mantido"
" is at war with us."," est† em guerra."
"the Rising of the Moon","o nascer da lua"
