"more presumptious","pli bravaæa"
"Throw ","¬eti "
"Unknown creature in ","Nekonata esta¼o en "
"has an extremely thin frame with a lot of fat on it","havas ege mallarøan korpon kun multe da graso sur øi"
"stuck on research topic","fiksita en esplortemo"
"Seek Patient for Diagnosis","Seræi Pacienton por Diagnozado"
"full ","plena "
"Quick to despair","Malesperema"
"Archery","Pafado"
"Early evening","Frua vespero"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","Milito estas iufoje necesa, sed paco ankaý valorendas, kiam ni povas havi øin."
"Woodworking","Lignolaborado"
"Default attack is a charging strike.","Defaýlta atako estas sturma frapo."
"steward","stevardo"
"Vermin escaped from cage","Fibesto fuøis el kaøo"
"no longer imprisoned","ne plu enkarcerigita"
"Infiltration Plot","Infiltrada intrigo"
"devouring ","vorante "
"medicine:method:cauterization","medicino:metodo:kaýterizado"
"Brook","Rojeto"
"banish","relegacii"
"State minor feeling of confusion","Deklari malgrandan senton de konfuzo"
"Continue action","Daýrigi agon"
"Open tree-felling mode","Malfermi arbo-faladan reøimon"
"This must be the will of ","Æi tio devas esti la volon de "
"Ice Track (SEW)","Glacia trako (Su-Or-Ok)"
"I will accept the child into my home.","Mi akceptos la infanon en mian hejmon."
"the treatment of plants","la kuracado de vegetaloj"
" Bin"," Varujo"
"the completion of ","la kompletigo de "
"Go to Writing Place","Iri al loko por skribi"
"Need soil at location","Bezonigi grundon æe loko"
"Bookcases: ","Librobretaroj: "
"has a narrow","havas mallarøan"
"artfully indulges the author's fancies","arte indulgas la kapricojn de la aýtoro"
" divine aspect of "," dia aspekto de "
"This parameter set will be reset.","Æi tiu parametraro estos rekomencigita."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Komenci pentri novan zonon. Kiam la kaheloj estas elektitaj, vi povos agordi la detajlojn."
"After a long journey, you are here to meet your most trusted companion.","Post longa vojaøo, vi estas æi tie por ekkoni vian plej fidindan kunulon."
"after being away from family","post esti for de familio"
"interacting with a pet","interagi kun dorlotbesto"
" starts to mutter under "," ekmurmuras sub "
"Tools","Iloj"
"Chase Opponent Flood","Persekuti kontraýan superakvon"
"Extract from raw fish","Ekstrakti el kruda fiþo"
"In party: ","En grupo: "
"  [C:2:0:1]You have been ordered to kill this creature."," [C:2:0:1]Vi estis ordonita mortigi æi tiun esta¼on."
"presents a different view of the subject of","prezentas malsaman vidpunkton pri la temo de"
"a strengthening ","plifortiøo "
"This","Æi tiu"
"'s acceptance of "," akcepto al "
"the surrounding area","la æirkaýa¼o"
"is grounded in reality","estas bazita en realeco"
"This is love.","Æi tio estas amo."
"the collision of ","la kolizio de "
" near magma"," proksima de magmo"
