"more presumptious","ngÕo mÕn h½n"
"Throw ","Ném "
"Unknown creature in ","Sinh v§t không rõ tÕi "
"has an extremely thin frame with a lot of fat on it","có khung xß½ng cñc kÏ mänh khänh nhßng lÕi tích tø nhi«u mŞ."
"stuck on research topic","m¡c k©t v¾i ğ« tài nghiên cÑu"
"Seek Patient for Diagnosis","Tìm B®nh Nhân ğ¬ Ch¦n Ğoán"
"full ","ğ¥y ğü "
"Quick to despair","D­ tuy®t v÷ng"
"Archery","Cung Thu§t"
"Early evening","Ğ¥u bu±i t¯i"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","Chiªn tranh ğôi khi là c¥n thiªt, nhßng hòa bình cûng phäi ğßşc trân tr÷ng, khi chúng ta có th¬ có ğßşc nó."
"Woodworking","Chª Biªn G²"
"Default attack is a charging strike.","Ğòn t¤n công m£c ğ¸nh là ğòn xung kích."
"steward","T±ng quän"
"Vermin escaped from cage","Côn trùng gây hÕi thoát khöi l°ng"
"no longer imprisoned","không còn b¸ giam c¥m"
"Infiltration Plot","Âm mßu Thâm nh§p"
"devouring ","ng¤u nghiªn "
"medicine:method:cauterization","Y h÷c: Phß½ng pháp: Ğ¯t c¥m máu"
"Brook","Su¯i"
"banish","Trøc xu¤t"
"State minor feeling of confusion","Bµc lµ cäm giác b¯i r¯i thoáng qua"
"Continue action","Tiªp tøc hành ğµng"
"Open tree-felling mode","M· chª ğµ ğ¯n cây"
"This must be the will of ","Ğây hÆn là ı chï cüa "
"Ice Track (SEW)","Ğß¶ng ray bång (Nam-Ğông-Tây)"
"I will accept the child into my home.","Ta s¨ nh§n ğÑa trë này vào nhà ta."
"the treatment of plants","vi®c ğ¯i xØ v¾i thñc v§t"
" Bin"," Thùng chÑa"
"the completion of ","vi®c hoàn thành "
"Go to Writing Place","Ğªn N½i viªt lách"
"Need soil at location","C¥n ğ¤t tÕi v¸ trí này"
"Bookcases: ","K® sách: "
"has a narrow","có mµt cái h©p"
"artfully indulges the author's fancies","khéo léo chi«u theo nhæng s· thích cüa tác giä"
" divine aspect of "," khía cÕnh th¥n thánh cüa "
"This parameter set will be reset.","Bµ thông s¯ này s¨ ğßşc ğ£t lÕi."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","B¡t ğ¥u v¨ mµt khu vñc m¾i. Khi các ô ğã ğßşc ch÷n, bÕn s¨ có th¬ ğ£t các chi tiªt."
"After a long journey, you are here to meet your most trusted companion.","Sau mµt hành trình dài, ngß½i · ğây ğ¬ g£p ngß¶i bÕn ğ°ng hành ğáng tin c§y nh¤t cüa mình."
"after being away from family","Sau khi xa r¶i gia ğình"
"interacting with a pet","Tß½ng tác v¾i mµt v§t nuôi"
" starts to mutter under "," b¡t ğ¥u l¦m b¦m trong "
"Tools","Công cø"
"Chase Opponent Flood","Truy ğu±i Ğ¯i thü (Tràn ng§p)"
"Extract from raw fish","Chiªt xu¤t t× cá s¯ng"
"In party: ","Trong t± ğµi: "
"  [C:2:0:1]You have been ordered to kill this creature."," [C:2:0:1]BÕn ğã ğßşc ra l®nh tiêu di®t sinh v§t này."
"presents a different view of the subject of","th¬ hi®n mµt góc nhìn khác v« chü ğ« cüa"
"a strengthening ","mµt sñ cüng c¯ "
"This","Ği«u này"
"'s acceptance of ","sñ ch¤p thu§n cüa "
"the surrounding area","khu vñc lân c§n"
"is grounded in reality","Thñc tª"
"This is love.","Ğây chính là tình yêu."
"the collision of ","sñ va chÕm cüa "
" near magma"," g¥n magma"
"really slow to heal","thñc sñ ch§m lành"
"sticks","dùi"
"exchange","Trao ğ±i"
"Up/Down Stair","C¥u Thang Lên/Xu¯ng"
"Huge Profile","Dáng hình R¤t l¾n"
"novel","ti¬u thuyªt"
